NROEMPRESA;SEQCOMPRADOR;DTAVDA;DOCTOS;VLR_VENDA;LUCRO;VERBA;CATEGORIA
10;4;2026-05-02;293;4135,76;1290,84;17,00;SECA SALG
10;5;2026-05-02;355;5759,38;1770,68;117,70;PADARIA
10;6;2026-05-02;455;28838,22;3069,93;0,00;AÇOUGUE
10;7;2026-05-02;461;8423,13;1385,56;161,20;LIQUIDA
10;8;2026-05-02;347;8322,88;515,56;78,50;COMMODITIES
10;9;2026-05-02;612;13057,46;2933,05;0,00;FLV
10;10;2026-05-02;99;2351,87;737,47;0,00;BAZAR
10;15;2026-05-02;1;2,00;0,64;0,00;OUTROS
10;16;2026-05-02;185;3861,19;772,20;0,00;LIMPEZA
10;18;2026-05-02;186;4216,28;1076,12;4,00;PERFUMARIA
10;1;2026-05-03;169;2505,11;581,18;15,10;PAS
10;3;2026-05-03;320;4283,52;900,49;55,90;SECA DOCE
10;4;2026-05-03;281;3301,01;1097,73;14,45;SECA SALG
10;5;2026-05-03;374;6133,62;1795,50;36,40;PADARIA
10;6;2026-05-03;373;22288,44;2384,22;0,00;AÇOUGUE
10;7;2026-05-03;459;6724,88;1338,31;247,10;LIQUIDA
10;8;2026-05-03;288;5567,71;377,84;42,00;COMMODITIES
10;9;2026-05-03;535;9015,40;1936,37;0,00;FLV
10;10;2026-05-03;91;1556,99;490,62;2,00;BAZAR
10;15;2026-05-03;1;1,00;0,32;0,00;OUTROS
10;16;2026-05-03;149;2786,44;544,54;0,00;LIMPEZA
10;18;2026-05-03;161;2779,68;702,66;0,00;PERFUMARIA
11;1;2026-05-01;262;3711,65;928,98;20,20;PAS
11;3;2026-05-01;477;5874,70;1261,11;150,70;SECA DOCE
11;4;2026-05-01;447;5337,97;1744,79;34,48;SECA SALG
11;5;2026-05-01;455;7617,60;2221,93;74,10;PADARIA
11;6;2026-05-01;580;32168,53;2729,41;0,00;AÇOUGUE
11;7;2026-05-01;634;10632,61;2034,07;604,50;LIQUIDA
11;8;2026-05-01;515;10024,52;1444,99;964,17;COMMODITIES
11;9;2026-05-01;701;11721,60;2115,55;0,00;FLV
11;10;2026-05-01;127;2056,57;610,44;2,00;BAZAR
11;15;2026-05-01;1;17,00;12,50;0,00;OUTROS
11;16;2026-05-01;238;4008,10;680,96;0,00;LIMPEZA
11;18;2026-05-01;245;4737,62;1291,28;2,50;PERFUMARIA
11;1;2026-05-02;188;2766,06;658,71;17,80;PAS
11;3;2026-05-02;405;5474,99;1197,09;169,80;SECA DOCE
11;4;2026-05-02;390;5243,62;1719,79;39,95;SECA SALG
11;5;2026-05-02;371;6001,31;1640,14;74,85;PADARIA
11;6;2026-05-02;540;28058,75;3089,85;0,00;AÇOUGUE
11;7;2026-05-02;547;8612,69;1262,33;129,60;LIQUIDA
11;8;2026-05-02;438;9224,55;553,31;88,50;COMMODITIES
11;9;2026-05-02;644;10386,75;2328,51;0,00;FLV
11;10;2026-05-02;99;2121,34;713,40;0,00;BAZAR
11;15;2026-05-02;3;20,00;14,70;0,00;OUTROS
11;16;2026-05-02;193;3020,15;536,25;0,00;LIMPEZA
11;18;2026-05-02;216;3214,07;831,10;0,00;PERFUMARIA
11;1;2026-05-03;211;2775,24;728,92;25,00;PAS
11;3;2026-05-03;367;3987,66;859,44;68,20;SECA DOCE
11;4;2026-05-03;363;4087,44;1328,78;22,65;SECA SALG
11;5;2026-05-03;377;6033,35;1758,49;45,60;PADARIA
11;6;2026-05-03;479;23176,48;2594,90;0,00;AÇOUGUE
11;7;2026-05-03;502;6948,53;1231,59;117,80;LIQUIDA
11;8;2026-05-03;408;7756,43;566,73;66,17;COMMODITIES
11;9;2026-05-03;574;8635,59;1930,93;0,00;FLV
11;10;2026-05-03;84;1244,98;399,70;0,00;BAZAR
11;15;2026-05-03;1;10,00;7,35;0,00;OUTROS
11;16;2026-05-03;141;2357,91;545,66;0,00;LIMPEZA
11;18;2026-05-03;174;2813,95;763,03;0,00;PERFUMARIA
13;1;2026-05-01;325;5575,83;1448,00;55,70;PAS
13;3;2026-05-01;637;10623,76;2143,99;327,00;SECA DOCE
13;4;2026-05-01;554;9125,90;2849,23;97,50;SECA SALG
13;5;2026-05-01;537;10606,36;2905,62;91,40;PADARIA
13;6;2026-05-01;741;52462,53;4634,83;0,00;AÇOUGUE
13;7;2026-05-01;692;13174,96;2502,51;612,50;LIQUIDA
13;8;2026-05-01;612;22614,15;2821,09;2369,17;COMMODITIES
13;9;2026-05-01;887;15553,92;2518,91;0,00;FLV
13;10;2026-05-01;132;2566,28;856,54;0,00;BAZAR
13;15;2026-05-01;32;21,29;15,44;0,00;OUTROS
13;16;2026-05-01;289;6494,54;1177,89;0,00;LIMPEZA
13;18;2026-05-01;373;8580,11;2267,70;18,00;PERFUMARIA
13;1;2026-05-02;331;5779,75;1547,28;69,00;PAS
13;3;2026-05-02;614;9861,10;1988,70;287,40;SECA DOCE
13;4;2026-05-02;527;8293,59;2552,33;52,20;SECA SALG
13;5;2026-05-02;508;9487,27;2615,87;84,85;PADARIA
13;6;2026-05-02;696;43107,94;4455,50;0,00;AÇOUGUE
13;7;2026-05-02;644;13028,01;1955,01;357,80;LIQUIDA
13;8;2026-05-02;646;19424,96;796,31;321,17;COMMODITIES
13;9;2026-05-02;809;13914,84;2889,23;0,00;FLV
13;10;2026-05-02;117;1723,74;564,20;0,00;BAZAR
